No,id,nama_wisata,kategori,kabupaten,before,after,placeType,sourceUsed,QC,reason
"85","parangtritis","Parangtritis","Pantai","Bantul","Tempat ini menjadi spot favorit bagi para pencinta petualangan, pasangan, maupun fotografer yang ingin berburu foto-foto estetik nan anti-mainstream langsung dari atas air, terutama saat siluet pepohonan mangrove berpadu dengan langit sore.","Tempat ini menjadi spot favorit bagi para pencinta petualangan, pasangan, maupun fotografer yang ingin berburu foto-foto estetik nan anti-mainstream langsung dari atas.","pantai","original","PASS",""
"86","parangkusumo","Parangkusumo","Pantai","Bantul","Destinasi wisata pesisir keramat yang menawarkan perpaduan mendalam antara pesona alam laut selatan dengan pusat spiritualitas dan sejarah Kesultanan Yogyakarta.","Destinasi wisata pesisir keramat yang menawarkan perpaduan mendalam antara pesona alam laut selatan dengan pusat spiritualitas dan sejarah Kesultanan Yogyakarta.","pantai","original","PASS",""
"87","goa-sunan-mas","Goa Sunan Mas","Goa","Bantul","Destinasi wisata alam tersembunyi yang menawarkan perpaduan antara petualangan susur gua (caving) yang menantang dengan keindahan stalaktit dan stalagmit yang memukau.","Destinasi wisata alam tersembunyi yang menawarkan perpaduan antara petualangan susur gua (caving) yang menantang dengan keindahan stalaktit dan stalagmit yang memukau.","goa","original","PASS",""
"88","wisata-alam-curug-gedhe","Wisata Alam Curug Gedhe","Air Terjun","Gunung Kidul","Wisata Alam Curug Gedhe adalah destinasi air terjun tersembunyi setinggi 25-30 meter dengan kolam alami sedalam 2-3 meter.","Wisata Alam Curug Gedhe adalah destinasi air terjun tersembunyi setinggi 25-30 meter dengan kolam alami sedalam 2-3 meter.","air terjun","original","PASS",""
"89","air-terjun-luweng-sampang","Air Terjun Luweng Sampang","Air Terjun","Gunung Kidul","Air Terjun Luweng Sampang merupakan air terjun yang berada di daerah berkapur Kabupaten Gunung Kidul. Mempunyai keunikan berupa tebing yang terkikis karena proses perubahan alam. Warna air pada kolam air terjun ini bisa berubah warna.","Air Terjun Luweng Sampang merupakan air terjun yang berada di daerah berkapur Kabupaten Gunung Kidul.","air terjun","original","PASS",""
"90","gunung-ireng","Gunung Ireng","Bukit","Gunung Kidul","Gunung dengan puncak yang diakses melalui jalan darat & jalan setapak pendek, terkenal dengan matahari terbit.","Gunung dengan puncak yang diakses melalui jalan darat & jalan setapak pendek, terkenal dengan matahari terbit.","bukit","original","PASS",""
"91","kawasan-glamping-kedung-kandang","Kawasan Glamping Kedung Kandang","Lainnya","Gunung Kidul","Glamping Kedung Kandang adalah destinasi berkemah mewah yang terletak di kawasan Desa Wisata Nglanggeran, Kabupaten Gunungkidul, Yogyakarta.","Glamping Kedung Kandang adalah destinasi berkemah mewah yang terletak di kawasan Desa Wisata Nglanggeran, Kabupaten Gunungkidul, Yogyakarta.","lainnya","original","PASS",""
"92","geoforest-watu-payung-turunan","Geoforest Watu Payung Turunan","Lainnya","Gunung Kidul","Anjungan observasi, dengan bangku berukir, menghadap lanskap perbukitan yang sering berkabut.","Anjungan observasi, dengan bangku berukir, menghadap lanskap perbukitan yang sering berkabut.","lainnya","original","PASS",""
"93","gunung-gambar","Gunung Gambar","Bukit","Gunung Kidul","Gunung Gambar berjarak sekitar 50 km dari pusat Kota Yogyakarta. Berada di ketinggian 650 mdpl, tempat ini sebenarnya lebih berupa bukit berbatu yang menawarkan pesona alam serta dikenal sebagai petilasan bersejarah","Gunung Gambar berjarak sekitar 50 km dari pusat Kota Yogyakarta.","bukit","original","PASS",""
"94","pantai-trisik","Pantai Trisik","Pantai","Kulon Progo","Pantai yang dikenal sebagai kawasan konservasi penyu yang menawarkan suasana pantai pesisir yang tenang dengan aktivitas nelayan lokal dan hamparan pasir hitam yang luas.","Pantai yang dikenal sebagai kawasan konservasi penyu yang menawarkan suasana pantai pesisir yang tenang dengan aktivitas nelayan lokal dan hamparan pasir hitam yang luas.","pantai","original","PASS",""
"95","pantai-congot","Pantai Congot","Pantai","Kulon Progo","Pantai yang berada di dekat muara Sungai Bogowonto, pantai ini menjadi tempat favorit bagi para penggemar memancing dan mereka yang ingin menikmati pemandangan matahari terbenam.","Pantai di dekat muara Sungai Bogowonto yang dikenal sebagai area pesisir Kulon Progo.","pantai","original","PASS",""
"96","goa-kebon","Goa Kebon","Goa","Kulon Progo","Sebuah goa yang terletak pada aliran air terjun yang mengalir tepat di mulut gua, menciptakan tirai air abadi yang menyiram formasi batuan kapur di bawahnya.","Sebuah goa yang terletak pada aliran air terjun yang mengalir tepat di mulut gua, menciptakan tirai air abadi yang menyiram formasi batuan kapur di bawahnya.","goa","original","PASS",""
"97","air-terjun-sidoharjo","Air Terjun Sidoharjo","Air Terjun","Kulon Progo","Air terjun tertinggi di Kulon Progo dengan ketinggian sekitar 75 meter yang terletak tersembunyi di tengah hutan, memberikan kesan petualangan yang sangat privat.","Air terjun di Kulon Progo dengan suasana hutan yang alami dan panorama tebing yang menonjol.","air terjun","original","PASS",""
"98","pantai-glagah","Pantai Glagah","Pantai","Kulon Progo","Pantai yang terkenal dengan ribuan pemecah ombak atau tetrapod yang menciptakan deburan ombak raksasa yang dramatis serta memiliki laguna luas yang bisa dikelilingi dengan perahu.","Pantai yang terkenal dengan ribuan pemecah ombak atau tetrapod yang menciptakan deburan ombak raksasa yang dramatis serta memiliki laguna luas yang bisa dikelilingi.","pantai","original","PASS",""
"99","mangrove-jembatan-api-api","Mangrove Jembatan Api-api","Hutan","Kulon Progo","Kawasan konservasi yang ditata rapi dengan jembatan bambu di atas air, sangat cocok untuk berjalan santai di sore hari sambil belajar mengenai ekosistem pesisir.","Kawasan konservasi yang ditata rapi dengan jembatan bambu di atas air, sangat cocok untuk berjalan santai di sore hari sambil belajar mengenai ekosistem pesisir.","hutan","original","PASS",""
"100","kedung-pedut","Kedung Pedut","Lainnya","Kulon Progo","Kolam alami yang memiliki gradasi warna air unik antara biru dan putih, dilengkapi dengan berbagai fasilitas jembatan bambu dan spot lompatan yang seru.","Kolam alami yang memiliki gradasi warna air unik antara biru dan putih, dilengkapi dengan berbagai fasilitas jembatan bambu dan spot lompatan yang seru.","lainnya","original","PASS",""
"101","puncak-widosari","Puncak Widosari","Bukit","Kulon Progo","Menampilkan ikon bongkahan batu raksasa yang berdiri tegak di puncak bukit, memberikan panorama 360 derajat ke arah lembah dan perkebunan teh di sekitarnya.","Menampilkan ikon bongkahan batu raksasa yang berdiri tegak di puncak bukit, memberikan panorama 360 derajat ke arah lembah dan perkebunan teh di sekitarnya.","bukit","original","PASS",""
"102","air-terjun-kembang-soka","Air Terjun Kembang Soka","Air Terjun","Kulon Progo","Air terjun yang memiliki banyak kolam bertingkat dengan air yang jernih dan segar, dikelilingi oleh jembatan kayu yang tertata indah sehingga sangat cocok untuk wisata keluarga.","Air terjun yang memiliki banyak kolam bertingkat dengan air yang jernih dan segar, dikelilingi oleh jembatan kayu yang tertata indah sehingga sangat cocok untuk wisata.","air terjun","original","PASS",""
"103","bendungan-ancol","Bendungan Ancol","Lainnya","Kulon Progo","Bangunan irigasi bersejarah peninggalan era kolonial yang kini menjadi destinasi wisata populer karena menawarkan panorama aliran sungai yang tenang serta taman terbuka hijau yang sejuk dan sangat cocok untuk bersantai di sore hari.","Bangunan irigasi bersejarah peninggalan era kolonial yang kini menjadi destinasi wisata populer karena menawarkan panorama aliran sungai yang tenang serta taman terbuka.","bendungan","original","PASS",""
"104","hutan-mangrove-wana-tirta","Hutan Mangrove Wana Tirta","Hutan","Kulon Progo","Kawasan wisata mangrove ini menawarkan jalur tracking kayu di tengah hutan bakau dengan suasana sejuk dan pemandangan muara yang cocok untuk wisata edukasi maupun fotografi alam.","Kawasan wisata mangrove ini menawarkan jalur tracking kayu di tengah hutan bakau dengan suasana sejuk dan pemandangan muara yang cocok untuk wisata edukasi maupun.","hutan","original","PASS",""
"105","pantai-pasir-mendit","Pantai Pasir Mendit","Pantai","Kulon Progo","Pantai yang memiliki suasana yang masih alami dengan hamparan pasir gelap dan ombak khas selatan yang cocok untuk menikmati sunset dan bersantai.","Pantai yang memiliki suasana yang masih alami dengan hamparan pasir gelap dan ombak khas selatan yang cocok untuk menikmati sunset dan bersantai.","pantai","original","PASS",""
"106","wisata-mangrove-pasir-mendit-jangkaran","Wisata Mangrove Pasir Mendit Jangkaran","Hutan","Kulon Progo","Destinasi wisata mangrove ini menyajikan pemandangan hutan bakau yang asri dengan jalur tracking dan spot foto menarik di kawasan pesisir Jangkaran.","Destinasi wisata mangrove ini menyajikan pemandangan hutan bakau yang asri dengan jalur tracking dan spot foto menarik di kawasan pesisir Jangkaran.","hutan","original","PASS",""
"107","pasir-kadilangu-beach","Pasir Kadilangu Beach","Pantai","Kulon Progo","Pantai yang terkenal dengan area mangrove dan spot foto estetik yang berpadu dengan panorama pantai selatan serta suasana alam yang tenang.","Kawasan pantai dan mangrove di Kulon Progo dengan spot foto estetik dan suasana pesisir yang tenang.","pantai","original","PASS",""
"108","laguna-barat-pantai-glagah","Laguna Barat Pantai Glagah","Lainnya","Kulon Progo","Laguna yang menawarkan perairan yang lebih tenang untuk bermain kano, menikmati angin pantai, dan melihat pemandangan laut selatan.","Laguna yang menawarkan perairan yang lebih tenang untuk bermain kano, menikmati angin pantai, dan melihat pemandangan laut selatan.","pantai","original","PASS",""
"109","pantai-karangwuni","Pantai Karangwuni","Pantai","Kulon Progo","Pantai Karangwuni memiliki suasana alami dengan garis pantai yang cukup luas serta cocok untuk menikmati pemandangan laut dan aktivitas santai di tepi pantai.","Pantai Karangwuni memiliki suasana alami dengan garis pantai yang cukup luas serta cocok untuk menikmati pemandangan laut dan aktivitas santai di tepi pantai.","pantai","original","PASS",""
"110","pantai-imorenggo","Pantai Imorenggo","Pantai","Kulon Progo","Pantai yang menawarkan panorama pantai selatan yang masih sepi dan alami sehingga cocok untuk menikmati suasana tenang serta pemandangan matahari terbenam.","Pantai yang menawarkan panorama pantai selatan yang masih sepi dan alami sehingga cocok untuk menikmati suasana tenang serta pemandangan matahari terbenam.","pantai","original","PASS",""
"111","laguna-pantai-trisik","Laguna Pantai Trisik","Lainnya","Kulon Progo","Laguna yang memiliki pemandangan perairan yang tenang dan menjadi habitat berbagai jenis burung sehingga menarik untuk wisata alam dan pengamatan satwa.","Laguna yang memiliki pemandangan perairan yang tenang dan menjadi habitat berbagai jenis burung sehingga menarik untuk wisata alam dan pengamatan satwa.","pantai","original","PASS",""
"112","wisata-alam-puntuk-gondang","Wisata Alam Puntuk Gondang","Bukit","Kulon Progo","Destinasi yang menawarkan panorama alam dari ketinggian dengan udara sejuk serta pemandangan perbukitan dan area persawahan yang indah.","Destinasi yang menawarkan panorama alam dari ketinggian dengan udara sejuk serta pemandangan perbukitan dan area persawahan yang indah.","bukit","original","PASS",""
"113","pantai-timang","Pantai Timang","Pantai","Gunung Kidul","Pantai pasir putih dengan pulau yang terhubung ke daratan melalui jembatan tali dan kereta gantung.","Pantai pasir putih dengan pulau yang terhubung ke daratan melalui jembatan tali dan kereta gantung.","pantai","original","PASS",""
"114","pantai-nglambor","Pantai Nglambor","Pantai","Gunung Kidul","Pantai berpasir yang tenang dengan tempat penyewaan alat snorkeling & kursus snorkeling.","Pantai berpasir yang tenang dengan tempat penyewaan alat snorkeling & kursus snorkeling.","pantai","original","PASS",""
"115","pantai-siung","Pantai Siung","Pantai","Gunung Kidul","Pantai berpasir yang tertutup pepohonan & tebing yang populer dengan pemanjat tebing & perahu nelayan cadik.","Pantai berpasir yang tertutup pepohonan & tebing yang populer dengan pemanjat tebing & perahu nelayan cadik.","pantai","original","PASS",""
"116","pantai-jogan","Pantai Jogan","Pantai","Gunung Kidul","Destinasi tepi laut dengan tempat observasi di samping air terjun yang mengalir ke pantai berbatu.","Destinasi tepi laut dengan tempat observasi di samping air terjun yang mengalir ke pantai berbatu.","pantai","original","PASS",""
"117","pantai-ngrumput","Pantai Ngrumput","Pantai","Gunung Kidul","Pantai berpasir yang dikelilingi oleh bukit berhutan, dengan kedai makanan & fasilitas perkemahan simpel.","Pantai berpasir yang dikelilingi oleh bukit berhutan, dengan kedai makanan & fasilitas perkemahan simpel.","pantai","original","PASS",""
